nstep,cstep,mu,mumax,copy,strb,score,epsilon
1335,18,0.922283863677,15.9981789317,0.652213488647,2.78002434864,0.01014624,0.0104947078715
1484,27,0.525611609286,12.8990194593,0.687312339519,0.426479879436,0.01015638,0.0104947078715
818,9,0.577109851891,15.0913579007,0.150483549011,4.11221575744,0.01047744,0.0104947078715
1162,16,0.973590872767,14.9061309667,0.0784409011728,1.34756392096,0.009973671,0.0104947078715
755,11,0.875593286908,11.7102379197,0.436752344647,0.00607226521553,0.01021061,0.0104947078715
657,8,0.729023419457,13.6311245046,0.411263026019,3.5617668482,0.01018579,0.0104947078715
1270,13,0.84111498811,15.346292069,0.437093145648,5.66920138015,0.01038644,0.0104947078715
1395,20,0.636102925014,17.111818156,0.658296392916,0.39155622876,0.01047227,0.0104947078715
1109,19,0.559285903406,13.1696464258,0.320626519134,0.143614402002,0.01010841,0.0104947078715
1323,24,0.467127670208,11.8234493418,0.0874878421182,1.64862230678,0.009784581,0.0104947078715
662,12,0.565309114665,11.4308799894,0.0532327016665,3.76929758681,0.009859206,0.0104947078715
1079,20,0.687076078193,12.820174659,0.384491299812,1.29739003969,0.009787462,0.0104947078715
1019,14,0.882685779648,13.740545498,0.168171444716,4.8105990011,0.01020681,0.0104947078715
894,10,0.668747893786,15.2071875907,0.784998714149,1.1489759548,0.01007973,0.0104947078715
1008,18,0.511660974011,14.1740709828,0.911035275526,3.50685576906,0.01048109,0.0104947078715
1438,8,0.579912879039,17.8057120004,0.0985213960523,2.96250816896,0.009748408,0.0104947078715
923,15,0.286098134203,13.59692536,0.839910623291,6.20477166507,0.0100066,0.0104947078715
842,10,0.933346933532,13.0880614108,0.372602638125,1.3565590773,0.0103157,0.0104947078715
1207,12,0.262275079975,14.9558260561,0.532520548377,3.62495708413,0.01042821,0.0104947078715
508,7,0.678200101318,12.9949887662,0.688733466694,0.517511024804,0.01035676,0.0104947078715
823,11,0.694827375245,14.8318224376,0.0552509716977,4.33677037607,0.01044878,0.0104947078715
1312,19,0.570179376242,10.9913102633,0.0919016309077,1.81384925002,0.01041468,0.0104947078715
1485,20,0.938062595553,13.0522238328,0.976161400498,2.68687609302,0.01033199,0.0104947078715
1259,24,0.563859370039,12.1485408317,0.0780279170985,5.25154752528,0.009944316,0.0104947078715
1703,17,0.719231451058,13.2145489678,0.554474518954,3.0943783033,0.01031212,0.0104947078715
1462,23,0.447408671583,11.953378139,0.787700409932,2.86475887627,0.0101919,0.0104947078715
