nstep,cstep,mu,mumax,copy,strb,score,epsilon
1214,23,0.819095014207,11.1066287693,0.810927904444,5.96596075271,0.01097646,0.011
1509,19,0.674641233504,12.9107905313,0.142309168662,3.05250173545,0.01059968,0.011
1983,8,0.0431052554109,12.8413453335,0.169889596286,3.00913099687,0.01083157,0.011
1075,8,0.197982829946,10.553218789,0.141373485053,8.06968342404,0.01005795,0.011
1517,15,0.43978308327,13.3840385754,0.0572603531698,0.344561561409,0.01051236,0.011
2216,28,0.789497160556,13.8020369397,0.904293840423,3.04396041866,0.01098032,0.011
611,4,0.628075610573,15.3762296897,0.391973572843,2.479000762,0.01030821,0.011
945,17,0.840937252363,13.376340389,0.941909432932,0.548847490515,0.009925135,0.011
1144,9,0.924880917543,15.4170940453,0.200540149921,2.04421283043,0.009972982,0.011
1690,12,0.58283036867,15.9559061666,0.507624405098,4.12389783073,0.01045289,0.011
1326,23,0.232636591069,12.1747492139,0.747049502103,3.25585304678,0.01093941,0.011
1204,15,0.986072107809,14.1957560222,0.0786292844056,2.16696669161,0.01043194,0.011
1328,23,0.541387874615,11.5640251152,0.268691674663,1.11671140805,0.01088968,0.011
1049,8,0.214740331902,15.9605080638,0.576039862762,1.66079550838,0.0094636,0.011
919,13,0.906232327074,14.6962819384,0.635015471706,2.0032937181,0.009707786,0.011
468,6,0.350322002083,11.1429416094,0.0685204714597,0.299317076703,0.01007298,0.011
1193,17,0.983275234794,14.2178386264,0.663661570401,2.74915381218,0.0106521,0.011
1110,6,0.443188229397,12.76862539,0.130438431898,2.32847663162,0.01055009,0.011
1883,20,0.462127863569,12.5665670808,0.587038788909,3.54464835502,0.01023012,0.011
1058,11,0.491140219008,13.1227283611,0.933757031223,7.16792467513,0.0102422,0.011
1216,7,0.288466943671,17.2370585514,0.487460946266,3.24053044141,0.009439438,0.011
1743,26,0.144392587813,15.2346166578,0.230239399993,5.94853359832,0.00977457,0.011
915,13,0.693392041264,14.3619239954,0.754624340137,2.19102457967,0.01055935,0.011
1289,23,0.540284796613,14.1169969339,0.589585888981,2.58257380954,0.01008397,0.011
774,14,0.999191963841,11.9824360539,0.135886936761,1.34592021101,0.0105694,0.011
1202,20,0.731870807095,11.8256404169,0.168316253526,3.17142408457,0.01099268,0.011
1326,15,0.565889692121,12.3053477973,0.57594036654,4.75145797335,0.010585,0.011
1322,17,0.104350707008,10.2887866137,0.274865538059,6.07701887895,0.01097311,0.011
1709,8,0.854094634963,17.8023152483,0.385383967846,1.68511476665,0.01047054,0.011
1493,6,0.109380050029,15.6980959569,0.31003585746,2.44724010741,0.01086099,0.011
955,6,0.236937224564,12.1861988482,0.705845836289,2.53446425631,0.01044093,0.011
1802,32,0.702224041338,15.9169664817,0.899205543694,4.3821342788,0.01014969,0.011
1922,32,0.242719869031,12.8606713872,0.318415301075,4.21097939652,0.009802463,0.011
822,10,0.106424674451,15.999107845,0.507997340531,2.34576958202,0.009915184,0.011
1392,5,0.123986282716,16.1935058538,0.0922847962831,0.748434750057,0.01039768,0.011
1104,17,0.376815421294,13.6049092142,0.836061080887,0.303963459879,0.01073333,0.011
1843,21,0.39206534149,13.1357767922,0.588420925852,2.56727085436,0.0107085,0.011
1768,21,0.278369339325,13.5666625798,0.359724270629,4.73818599186,0.009374138,0.011
886,6,0.255228879167,16.6115876116,0.333549561654,3.21092147009,0.01008361,0.011
1488,15,0.183319521552,10.3946539211,0.164334051939,7.2870987178,0.01085284,0.011
706,9,0.594559816847,12.7242953997,0.9690922486,2.44539656205,0.01030743,0.011
1034,11,0.558263139511,13.399072687,0.474357053974,3.14533522096,0.009755147,0.011
808,14,0.972161635146,13.8597306458,0.813894255705,1.98487327782,0.01032297,0.011
544,5,0.457635956466,11.7101440937,0.474150594626,1.03011201898,0.0107216,0.011
903,17,0.464145464757,13.2010245436,0.500455197158,7.20010416525,0.0100467,0.011
1106,13,0.68648834338,12.6643287078,0.566871786035,3.06096361034,0.009540304,0.011
1118,7,0.419048498534,13.6942766683,0.958740891159,3.02235174006,0.01061252,0.011
730,9,0.765993449402,11.9408148852,0.584742829895,2.10018263384,0.01089905,0.011
1825,27,0.734201554512,13.2311163351,0.379235797076,3.13244194155,0.01068623,0.011
622,12,0.289835241406,13.5400794141,0.752100944481,6.50288334967,0.009827647,0.011
977,8,0.675631784147,16.5830570307,0.458406898913,0.216621037987,0.01082188,0.011
1465,16,0.674624031706,12.0241742489,0.766677124647,9.07044517916,0.01024164,0.011
1359,17,0.552331082636,12.1613299366,0.503038908127,3.41225379885,0.01016155,0.011
1530,18,0.716102229564,14.2675847069,0.829832559207,1.14680551407,0.01049014,0.011
1477,11,0.036447452848,11.7465946697,0.413477130966,0.298809566024,0.01012268,0.011
