nstep,cstep,mu,mumax,copy,strb,score,epsilon
908,10,0.610268262809,14.065464499,0.746013176469,0.539749850713,0.009844747,0.0105938744166
1668,24,0.863965610548,14.9265165471,0.348335494896,1.32509889235,0.009760374,0.0105938744166
1456,15,0.585817194189,13.0021452933,0.620558759487,7.00525819768,0.01046462,0.0105938744166
1685,28,0.450821072567,13.3330082777,0.19213031583,0.320654409583,0.01035762,0.0105938744166
1385,14,0.225295568599,17.6657492579,0.101435076685,0.981823910708,0.01034416,0.0105938744166
1047,20,0.913014758965,13.9141401609,0.542999201639,2.00720113319,0.009973374,0.0105938744166
1318,18,0.55842020328,13.806794121,0.0793327700503,1.12667787249,0.01025624,0.0105938744166
1414,11,0.513023893017,12.8430243865,0.603274076337,2.26219713428,0.01050855,0.0105938744166
1445,18,0.436577582625,12.043066083,0.51371604053,1.21525883327,0.00983927,0.0105938744166
1415,14,0.546530220466,12.9439721981,0.448042641441,2.37020623741,0.01054516,0.0105938744166
633,2,0.0458296712597,13.904882556,0.0549539518638,0.395557168653,0.01006345,0.0105938744166
1208,13,0.801862944552,13.8338580987,0.599595756548,2.51080009912,0.01058112,0.0105938744166
1716,28,0.524139516804,10.6095804923,0.830025674245,3.59519174422,0.009364301,0.0105938744166
643,11,0.592507374503,13.4320150249,0.358239310584,4.0612506254,0.01018216,0.0105938744166
1187,13,0.614620428487,15.5320563558,0.779228101365,2.64627135851,0.01020141,0.0105938744166
2106,16,0.217852016658,14.8843258183,0.331409278306,3.85060186447,0.01021356,0.0105938744166
1081,16,0.492972393163,15.3302541869,0.185212999485,2.09233537549,0.01053667,0.0105938744166
387,4,0.60683316129,16.7138862746,0.697087942595,1.87829563567,0.01006118,0.0105938744166
856,13,0.638415402013,12.7932076917,0.218547172237,1.39766988227,0.01057228,0.0105938744166
1198,22,0.971007853902,13.7905369265,0.342414634962,4.07534340417,0.01046471,0.0105938744166
1800,21,0.66757839716,14.9871330737,0.134916276407,3.28345706565,0.01039202,0.0105938744166
870,8,0.885314544852,14.7179493495,0.0829060452187,6.10478282984,0.01019722,0.0105938744166
1178,20,0.854085437935,13.7529105479,0.248027678315,2.77030753853,0.01041926,0.0105938744166
1320,16,0.597100566721,13.3923016867,0.447001572297,2.36960738607,0.009949495,0.0105938744166
905,15,0.357946344539,12.2570436322,0.174428931029,4.34889097856,0.009863978,0.0105938744166
797,6,0.466467858166,16.7398768521,0.918413784152,3.96359729994,0.0102972,0.0105938744166
1787,24,0.473541857282,10.9421013734,0.948114510349,2.88949035418,0.01050166,0.0105938744166
715,3,0.121602175742,12.7611926342,0.0160655660234,3.72121552554,0.01044849,0.0105938744166
592,7,0.379274971321,15.6273367457,0.0785376577901,2.77175365842,0.0089642,0.0105938744166
221,2,0.867931551361,15.064880651,0.88356027255,3.77855263065,0.009893209,0.0105938744166
940,15,0.913390020911,12.6005612328,0.957791361534,3.02030401128,0.01007549,0.0105938744166
284,4,0.427234238144,14.1221150435,0.564691246195,1.59669693617,0.01031889,0.0105938744166
1309,13,0.514800415225,13.8345887347,0.29131339783,2.55636639622,0.009679017,0.0105938744166
1421,22,0.926903187665,13.5392905149,0.115754851858,4.0973031623,0.01029861,0.0105938744166
771,7,0.077345218498,12.0304516037,0.391415063113,6.33041879921,0.01057579,0.0105938744166
1439,24,0.506592544505,12.217599188,0.87283174456,3.35159993171,0.01000526,0.0105938744166
1649,21,0.316010523799,14.7017314899,0.855499170228,5.57900668926,0.01017428,0.0105938744166
635,10,0.915326670509,13.1241754878,0.914272967708,3.93907036858,0.009809612,0.0105938744166
702,7,0.678675343942,14.5872610583,0.571656722135,0.583848734919,0.009690337,0.0105938744166
619,8,0.722430163936,15.4760860408,0.650672460132,2.90073050028,0.01008813,0.0105938744166
1827,30,0.611532889841,14.1427623772,0.507272377755,2.17522265841,0.01039423,0.0105938744166
1166,16,0.98246845526,16.3295579456,0.479704682608,5.07832221799,0.01043456,0.0105938744166
1614,21,0.419162477533,12.309923916,0.372186851234,2.32601866794,0.0105313,0.0105938744166
2006,24,0.422394773379,14.8639106803,0.548665456517,1.49207721131,0.01032408,0.0105938744166
1185,17,0.547755615186,13.0972191786,0.0876357245002,3.80737094115,0.01043158,0.0105938744166
1223,16,0.445997535308,11.912691398,0.156512506457,4.85376961232,0.01057856,0.0105938744166
682,11,0.236437473299,12.8940963678,0.666078858303,6.14882198812,0.009998271,0.0105938744166
1361,13,0.141746589037,13.5981645889,0.861671708608,4.1691593122,0.009250937,0.0105938744166
643,7,0.288800239354,12.3757338712,0.237782051565,4.61655138806,0.00977184,0.0105938744166
984,15,0.403603266833,12.9201168216,0.322254531304,3.30452322753,0.01044146,0.0105938744166
860,10,0.776486380753,15.1988380628,0.845756352398,2.96604131906,0.01014999,0.0105938744166
549,9,0.939965005834,13.7810817261,0.420871643869,9.37828448316,0.01026347,0.0105938744166
1263,15,0.382704738402,10.4923914123,0.310305019738,2.67581061693,0.009923256,0.0105938744166
1338,24,0.596200484043,12.8524613387,0.243149570155,4.57408913226,0.0102964,0.0105938744166
1004,15,0.867580202735,14.6065685848,0.468723195198,1.79093815359,0.009767388,0.0105938744166
1076,8,0.43745670793,16.2676644387,0.481260435179,0.98493143975,0.009379655,0.0105938744166
1991,15,0.615675566014,14.6847925835,0.30469784252,1.18021575161,0.009958131,0.0105938744166
808,15,0.84626390592,13.9003474489,0.846404696484,5.22186054053,0.01027577,0.0105938744166
1425,18,0.469879352614,15.5471487816,0.656685205222,3.91642484432,0.01036096,0.0105938744166
724,9,0.818926677114,12.4030907558,0.247712491645,3.73259845751,0.01036445,0.0105938744166
903,12,0.443993050161,12.5011659895,0.565723288364,0.140166368665,0.01033432,0.0105938744166
993,12,0.297185360478,11.350309777,0.105268345279,5.77325996502,0.01034728,0.0105938744166
709,10,0.211933732975,14.1242661757,0.92982437417,6.82605801683,0.01036656,0.0105938744166
768,12,0.472094030367,14.3581739633,0.654061980849,4.26876867542,0.01028958,0.0105938744166
441,5,0.589363518424,14.091548654,0.760692036981,2.9448221408,0.009656617,0.0105938744166
1363,23,0.442652608037,11.9106396386,0.402606430099,0.990336215105,0.00997092,0.0105938744166
831,13,0.742713166271,14.6014951362,0.261504068723,4.6324225546,0.01041377,0.0105938744166
1207,21,0.609334177794,11.8932764943,0.679398594182,2.69543198087,0.01048407,0.0105938744166
882,10,0.394947499145,12.8211194694,0.0733622420104,3.49146747177,0.01040817,0.0105938744166
739,11,0.853858845608,14.3170186022,0.428741339733,1.31518358209,0.01012475,0.0105938744166
1104,19,0.640451317203,14.6156609334,0.546857878692,1.54372880728,0.01017025,0.0105938744166
1138,12,0.800587361281,16.1589039243,0.435359354247,5.26378316839,0.01008538,0.0105938744166
