nstep,cstep,mu,mumax,copy,strb,score,epsilon
890,14,0.45087320113407536,14.341861285760787,0.01897594188144125,4.326787817020058,0.01049929,0.13
1617,30,0.7490445494025539,15.798141709130245,0.795754996338346,2.37925460258249,0.0108409,0.13
821,13,0.49177242130625215,8.704923806896344,0.38115094488395457,4.208386068120614,0.01172146,0.13
1490,19,0.5431594226248492,12.22645990262686,0.6852280238288868,2.965817831120342,0.01114792,0.13
1667,26,0.7242848673499539,11.045987834477277,0.6156304212376251,2.4642060466661713,0.01102049,0.13
1579,7,0.47582374335629946,15.870081413893615,0.6110022525460399,2.7020646171763167,0.01244359,0.13
1056,15,0.4954145283940775,12.26270434806298,0.5069861731425939,3.299036964429079,0.01124791,0.13
555,8,0.7624252346644633,11.599921156476219,0.3665007031411337,3.08971673699933,0.01043169,0.13
1205,7,0.3850620898847972,9.075758393251053,0.05773325194749773,7.533516119818932,0.01479141,0.13
979,7,0.7915483457831423,10.399665971180386,0.026021046439910045,1.4750484137856117,0.01383688,0.13
1260,16,0.5595711584702386,13.421408362180875,0.17544158223041761,3.9616284972412545,0.010647,0.13
1225,16,0.43552447258096844,18.427079056842462,0.21202646540849818,3.2666851176616105,0.01014087,0.13
884,6,0.5518972814456204,8.546361336481546,0.28165036063345067,3.6471352870326124,0.01553034,0.13
2281,33,0.9430352530508663,10.890611155676313,0.6176038851358856,3.9941336394036178,0.01066519,0.13
520,3,0.7837169530061723,9.550350735323363,0.7968875744572114,0.375708454229311,0.01705401,0.13
1056,2,0.33246595049527733,11.25887519200845,0.23607763557128264,5.813831031757586,0.02056221,0.13
763,3,0.38649126431746617,13.88063869076667,0.7749186846101549,3.656044727958822,0.01483036,0.13
926,12,0.19261518676945866,12.11971751154609,0.4806962186524679,0.6791099614214249,0.01128297,0.13
817,6,0.8596917510006306,9.745735232873884,0.42723636620715766,1.4889575198487242,0.01447013,0.13
1076,7,0.7697108821198675,10.030321955004059,0.9419706430048134,6.604939999952597,0.01618841,0.13
1367,6,0.6851183354228869,9.742915216026793,0.026756451894455524,0.5289535983634861,0.01599908,0.13
672,6,0.9105438849880418,15.378205412214623,0.23090504904329057,0.7193931747927814,0.009901968,0.13
1070,17,0.7416586282090472,13.655482534599063,0.5814114031891418,3.121840687755137,0.01110118,0.13
567,5,0.40281198801523704,12.93375865377632,0.4738469671459212,1.149802597677743,0.01005206,0.13
1002,6,0.5063105905809613,14.69529621658917,0.33127150628502855,1.750584006212064,0.01188906,0.13
845,10,0.6197971000485368,13.19383525970282,0.9080843608951638,3.7078496748857535,0.01041008,0.13
1453,20,0.4122412319195563,8.33546965185064,0.4884645364040468,5.38624708292429,0.01337587,0.13
2127,31,0.5758851823656232,14.342708250445524,0.4979249274070444,7.726220941349293,0.01032698,0.13
1032,17,0.7102227735966415,15.633693381714352,0.04689875405471399,4.108319364290823,0.01019774,0.13
882,12,0.8226248871642096,11.789397425492016,0.3013505592374103,1.387728120084613,0.01084733,0.13
418,5,0.41597461687001547,14.355631415781845,0.21505446910298356,4.074387062500972,0.009779153,0.13
780,14,0.9299111535744218,16.233222157192014,0.4647300531137405,1.9455212704134657,0.01125759,0.13
1766,31,0.5282436796092028,11.13176399407296,0.47168630116119925,8.24672206253986,0.01098628,0.13
310,5,0.9444648518222846,9.19997695280952,0.5657839586000561,2.8047241469521818,0.01201277,0.13
1203,10,0.6371637889234192,11.169499726797849,0.3752188386976562,2.001855294520532,0.01217306,0.13
1394,24,0.07998498101507695,13.99653222360255,0.9908768521811233,0.817146122583259,0.01213862,0.13
1169,13,0.8402866563335818,10.748676108231749,0.6243108613286938,2.5692848408854196,0.01175521,0.13
1071,15,0.5244570428733413,12.30128766555503,0.11886515875051806,1.1478969615909214,0.0112532,0.13
378,6,0.45840905275678445,12.34453537258057,0.44545524171122797,0.2872506272088243,0.01012634,0.13
1437,1,0.7104957493777653,17.85071594581676,0.47891008263629553,0.7157025442986925,0.02820269,0.13
912,2,0.9556846973683996,15.304518207721584,0.993037319978924,2.435683018461877,0.01926899,0.13
567,10,0.576687045582089,14.58456094795149,0.1829684978695887,2.1182655417393157,0.0111606,0.13
